,A_exchangeRate,A_istVol,A_marketValue,A_marketValue1,A_negotiableValue,A_negotiableValue1,A_productType,A_profitRate,A_profitRate1,A_searchDate,A_trdAmt,A_trdAmt1,A_trdTm,A_trdTm1,A_trdVol,A_trdVol1,B_exchangeRate,B_istVol,B_marketValue,B_marketValue1,B_negotiableValue,B_negotiableValue1,B_productType,B_profitRate,B_profitRate1,B_searchDate,B_trdAmt,B_trdAmt1,B_trdTm,B_trdTm1,B_trdVol,B_trdVol1,SH_exchangeRate,SH_istVol,SH_marketValue,SH_marketValue1,SH_negotiableValue,SH_negotiableValue1,SH_productType,SH_profitRate,SH_profitRate1,SH_searchDate,SH_trdAmt,SH_trdAmt1,SH_trdTm,SH_trdTm1,SH_trdVol,SH_trdVol1,date
6506,1.6935,1062,272077.28,272077.2840013207,237761.93,237761.9321790898,1,16.42,16.417,2015-10-21,5177.84,5177.83508409,2392.06,2392.0603,4571823.21,4571823.2101,0.9128,53,1033.43,1033.4338929207,1033.43,1033.4338929207,2,20.02,20.023,2015-10-21,10.8,10.7973378,6.71,6.7095,13945.72,13945.7227,1.6892,1115,273110.72,273110.7178942414,238795.37,238795.3660720105,12,16.43,16.428,2015-10-21,5193.21,5193.21128666,2398.83,2398.8323,4593309.59,4593309.5933,2015-10-21
6507,,,,,,,1,,,2007-02-19,,,,,,,,,,,,,2,,,2007-02-19,,,,,,,,,,,,,12,,,2007-02-19,,,,,,,2007-02-19
6508,0.6575,950,154519.73,154519.7325505921,138955.39,138955.3883987006,1,11.2,11.197,2014-04-10,1300.13,1300.1251498,560.08,560.0846,1568136.89,1568136.8879,0.2014,53,700.07,700.0708097315,700.07,700.0708097315,2,10.6,10.599,2014-04-10,1.45,1.44843794,1.58,1.5776,2954.48,2954.4798,0.6547,1003,155219.8,155219.8033603236,139655.46,139655.4592084321,12,11.19,11.194,2014-04-10,1306.9,1306.89539231,561.67,561.6682,1581772.2,1581772.1978,2014-04-10
6509,0.2609,918,158630.86,158630.8645760757,130426.79,130426.7936781415,1,14.45,14.449,2011-11-28,465.26,465.25772067,275.03,275.0339,462221.3,462221.3001,0.1383,54,772.99,772.985052908,772.99,772.985052908,2,13.8,13.803,2011-11-28,1.04,1.04139024,1.02,1.0217,1857.66,1857.658,0.26,972,159403.85,159403.8496289837,131199.78,131199.7787310495,12,14.45,14.446,2011-11-28,466.3,466.29911091,276.06,276.0556,464078.96,464078.9581,2011-11-28
6510,6.9085,840,130414.08,130414.07764684,35238.66,35238.6598420857,1,42.23,42.229,2007-05-10,2042.69,2042.69164549,992.98,992.982,1668440.52,1668440.5178,3.8554,54,1032.13,1032.1312811181,1032.13,1032.1312811181,2,42.89,42.893,2007-05-10,34.72,34.71560496,16.15,16.1524,42698.89,42698.8896,6.7746,894,131446.21,131446.2089279581,36270.79,36270.7911232038,12,42.23,42.234,2007-05-10,2077.41,2077.40725045,1009.13,1009.1344,1711139.41,1711139.4074,2007-05-10
6511,,,,,,,1,,,2016-12-25,,,,,,,,,,,,,2,,,2016-12-25,,,,,,,,,,,,,12,,,2016-12-25,,,,,,,2016-12-25
6512,0.7983,671,30168.91,30168.9107298995,8528.76,8528.7613119382,1,43.96,43.956,2002-07-19,71.09,71.09350664,69.81,69.8059,66284.58,66284.5819,0.6064,54,609,608.998756791,609,608.998756791,2,41.62,41.616,2002-07-19,3.44,3.44286372,2.35,2.346,5547.71,5547.712,0.7793,725,30777.91,30777.9094866905,9137.76,9137.7600687292,12,43.91,43.91,2002-07-19,74.54,74.53637036,72.15,72.1519,71832.29,71832.2939,2002-07-19
6513,2.5229,854,141952.31,141952.3135277869,56637.63,56637.6270805028,1,22.66,22.657,2009-05-20,1374.52,1374.51757712,930.01,930.0103,1375015.17,1375015.1711,0.824,54,595.05,595.0462869875,595.05,595.0462869875,2,15.2,15.198,2009-05-20,5.26,5.26171915,4.6,4.5995,9972.8,9972.8009,2.486,908,142547.36,142547.3598147744,57232.67,57232.6733674903,12,22.61,22.611,2009-05-20,1379.78,1379.77929627,934.61,934.6098,1384987.97,1384987.972,2009-05-20
6514,,,,,,,1,,,2008-04-19,,,,,,,,,,,,,2,,,2008-04-19,,,,,,,,,,,,,12,,,2008-04-19,,,,,,,2008-04-19
6515,0.3454,943,152089.12,152089.1208582642,137578.19,137578.1853901007,1,11.11,11.112,2013-12-17,679.68,679.67580203,402.74,402.7444,813582.28,813582.2798,0.1385,53,746.82,746.822737557,746.82,746.822737557,2,11.42,11.417,2013-12-17,1.02,1.02313873,1.1,1.0998,2031.4,2031.4003,0.3441,996,152835.94,152835.9435958212,138325.01,138325.0081276577,12,11.11,11.113,2013-12-17,693.63,693.62752189,403.85,403.8501,843703.1,843703.0955,2013-12-17
