date,AGSZBHXS,close,hfqjg,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,scode,sname,tdate,zdf,zdf10,zdf3,zdf5
2010-12-10,64348885032.0,24.0,25.06084495,SH,14100.0,117100.0,64100.0,117100.0,-9000.0,10000.0,-50000.0,0.0,5100.0,127100.0,14100.0,117100.0,261600.0,10900.0,5272007.0,57290114.0,16629810.0,32548740.0,-5061055.0,11084309.0,4965634.0,-1895070.0,210952.0,68374423.0,21595444.0,30653670.0,91954820.0,91431620.0,91693220.0,0.14,601601,中国太保,2010-12-10T00:00:00,3.4037,3.851146660068134,-1.8806214168084991,2.0842194905148146
2010-12-13,65850359016.0,24.56,25.645598,SH,0.0,117100.0,14100.0,89100.0,0.0,10000.0,0.0,-25000.0,0.0,127100.0,14100.0,64100.0,267704.0,10900.0,6128102.0,56899042.0,14533035.0,27332270.0,48188415.0,63989243.0,51251074.0,53761368.0,54316517.0,120888285.0,65784109.0,81093638.0,140149339.0,139613931.0,139881635.0,0.21,601601,中国太保,2010-12-13T00:00:00,2.3333,4.377390568833652,2.632678646184771,0.9453349742879412
2010-12-14,64911937776.0,24.21,25.28012735,SH,0.0,117100.0,14100.0,64100.0,0.0,0.0,-9000.0,-50000.0,0.0,117100.0,5100.0,14100.0,263889.0,10900.0,7826913.0,62180559.0,19227022.0,30584825.0,1243994.0,63336414.0,44371354.0,54398043.0,9070907.0,125516973.0,63598376.0,84982868.0,141389518.0,140861740.0,141125629.0,0.22,601601,中国太保,2010-12-14T00:00:00,-1.4251,4.443485766227153,4.308487750106949,-1.0220768280223644
2010-12-15,63785832288.0,23.79,24.84156256,SH,0.0,117100.0,0.0,14100.0,0.0,0.0,0.0,0.0,0.0,117100.0,0.0,14100.0,259311.0,10900.0,3243809.0,64654886.0,17198824.0,25603757.0,3348120.0,64209612.0,52780529.0,55843188.0,6591929.0,128864498.0,69979353.0,81446945.0,144733060.0,144214438.0,144473749.0,0.23,601601,中国太保,2010-12-15T00:00:00,-1.7348,3.16565482496583,-0.8749999867821695,-0.585039690258925
2010-12-16,63142343438.0,23.55,24.59095411,SH,0.0,117100.0,0.0,14100.0,3000.0,3000.0,3000.0,-6000.0,3000.0,120100.0,3000.0,8100.0,327345.0,13900.0,1720230.0,63153218.0,12790952.0,24191061.0,994498.0,50144394.0,5586612.0,48713972.0,2714728.0,113297612.0,18377564.0,72905033.0,145795592.0,145140902.0,145468247.0,0.23,601601,中国太保,2010-12-16T00:00:00,-1.0088,1.948051935937731,-4.112377843558181,1.4648858383372476
2010-12-17,63088719367.0,23.53,24.57007007,SH,0.0,117100.0,0.0,0.0,0.0,3000.0,3000.0,3000.0,0.0,120100.0,3000.0,3000.0,327067.0,13900.0,3306294.0,54774088.0,8270333.0,22225348.0,1088797.0,52968754.0,5431415.0,54863824.0,4395091.0,107742842.0,13701748.0,77089172.0,146884111.0,146229977.0,146557044.0,0.23,601601,中国太保,2010-12-17T00:00:00,-0.0849,0.08507019326212666,-2.8087567367416764,-1.9583333322526302
2010-12-20,61721305560.0,23.02,24.03752712,SH,10000.0,99100.0,10000.0,10000.0,-10000.0,-32000.0,-7000.0,-7000.0,0.0,67100.0,3000.0,3000.0,89778.0,3900.0,3467937.0,46897453.0,8494461.0,19565183.0,4834407.0,65271184.0,6917702.0,11509816.0,8302344.0,112168637.0,15412163.0,31074999.0,151481229.0,151301673.0,151391451.0,0.25,601601,中国太保,2010-12-20T00:00:00,-2.1674,-5.384299204801897,-3.2366540472565184,-6.270358289169159
2010-12-21,63973516536.0,23.86,24.91465669,SH,0.0,74100.0,10000.0,10000.0,0.0,-57000.0,-10000.0,-7000.0,0.0,17100.0,0.0,3000.0,93054.0,3900.0,9156709.0,51479804.0,15930940.0,20894979.0,-185971.0,64477894.0,5737233.0,10079851.0,8970738.0,115957698.0,21668173.0,30974830.0,151298534.0,151112426.0,151205480.0,0.24,601601,中国太保,2010-12-21T00:00:00,3.649,-2.452984449897614,1.3163481927216691,-1.445683619153129
2010-12-22,61908989808.0,23.09,24.11062125,SH,400.0,24500.0,10400.0,10400.0,-400.0,-7400.0,-10400.0,-7400.0,0.0,17100.0,0.0,3000.0,80815.0,3500.0,7240701.0,50495628.0,19865347.0,24891871.0,12105313.0,74680232.0,16753749.0,18837044.0,19346014.0,125175860.0,36619096.0,43728915.0,163391608.0,163229978.0,163310793.0,0.26,601601,中国太保,2010-12-22T00:00:00,-3.2272,-3.5102381815731585,-1.8699532345289727,-2.942412773892755
2010-12-23,61506809276.0,22.94,23.95399097,SH,0.0,24500.0,400.0,10400.0,0.0,-16400.0,-400.0,-10400.0,0.0,8100.0,0.0,0.0,80290.0,3500.0,3405687.0,50768389.0,19803097.0,26577328.0,229035.0,66785553.0,12148377.0,18071581.0,3634722.0,117553942.0,31951474.0,44648909.0,163620118.0,163459538.0,163539828.0,0.27,601601,中国太保,2010-12-23T00:00:00,-0.6496,-1.1632916611704698,-0.3475238928820395,-2.5902335352696895
2010-12-24,61640869454.0,22.99,24.00620106,SH,0.0,10400.0,400.0,10400.0,0.0,-7400.0,-400.0,-10400.0,0.0,3000.0,0.0,0.0,80465.0,3500.0,5074244.0,50570626.0,15720632.0,28345278.0,72981.0,71919589.0,12407329.0,17055765.0,5147225.0,122490215.0,28127961.0,45401043.0,163693274.0,163532344.0,163612809.0,0.27,601601,中国太保,2010-12-24T00:00:00,0.218,-4.208333326765984,-3.64626990972999,-2.2949426208128028
2010-12-27,141238535461.0,22.75,23.75559261,SH,3000.0,13400.0,3000.0,3400.0,-3000.0,-10400.0,-3000.0,-3400.0,0.0,3000.0,0.0,0.0,11375.0,500.0,21077734.0,65520258.0,29557665.0,45955075.0,-14047953.0,9683221.0,-13745937.0,-1826595.0,7029781.0,75203479.0,15811728.0,44128480.0,149576231.0,149553481.0,149564856.0,0.11,601601,中国太保,2010-12-27T00:00:00,-1.0439,-7.369706840136853,-1.4724989303210094,-1.1728931540774898
2010-12-28,140866038224.0,22.69,23.6929405,SH,2900.0,16300.0,5900.0,6300.0,0.0,-10400.0,-3000.0,-3400.0,2900.0,5900.0,2900.0,2900.0,11345.0,500.0,1206841.0,58900186.0,27358819.0,38005207.0,8598466.0,17037693.0,-5376506.0,6957842.0,9805307.0,75937879.0,21982313.0,44963049.0,158174667.0,158151977.0,158163322.0,0.11,601601,中国太保,2010-12-28T00:00:00,-0.2637,-6.278397367329718,-1.0897994840481482,-4.903604353056811
2010-12-29,140369375243.0,22.61,23.60940435,SH,0.0,16300.0,5900.0,5900.0,0.0,-10400.0,-3000.0,-3000.0,0.0,5900.0,2900.0,2900.0,11305.0,500.0,1968904.0,57625281.0,24253479.0,32733410.0,629538.0,14319111.0,-4819949.0,-4517933.0,2598442.0,71944392.0,19433530.0,28215477.0,158804165.0,158781555.0,158792860.0,0.11,601601,中国太保,2010-12-29T00:00:00,-0.3526,-4.9600672543200925,-1.6528925547539342,-2.0788220046383086
2010-12-30,139438132152.0,22.46,23.45277407,SH,0.0,16300.0,2900.0,5900.0,20000.0,6600.0,20000.0,17000.0,20000.0,22900.0,22900.0,22900.0,460430.0,20500.0,952810.0,56857861.0,4128555.0,30280533.0,3044625.0,16369238.0,12272629.0,-1702343.0,3997435.0,73227099.0,16401184.0,28578190.0,162297915.0,161377055.0,161837485.0,0.12,601601,中国太保,2010-12-30T00:00:00,-0.6634,-4.628450099612666,-1.2747252614212936,-2.0924149993532373
2010-12-31,142169778552.0,22.9,23.91222289,SH,20000.0,36300.0,20000.0,25900.0,-20000.0,-13400.0,0.0,-3000.0,0.0,22900.0,20000.0,22900.0,11450.0,500.0,14278722.0,67830289.0,17200436.0,39485011.0,1808515.0,17088956.0,5482678.0,33191.0,16087237.0,84919245.0,22683114.0,39518202.0,163657450.0,163634550.0,163646000.0,0.12,601601,中国太保,2010-12-31T00:00:00,1.959,-2.677433064398257,0.9255178351543153,-0.3914745601151772
2011-01-04,144653093461.0,23.3,24.32990364,SH,0.0,26300.0,20000.0,22900.0,0.0,-3400.0,0.0,0.0,0.0,22900.0,20000.0,22900.0,11650.0,500.0,13745757.0,78108109.0,28977289.0,32153034.0,-6002251.0,6252298.0,-1149111.0,8078893.0,7743506.0,84360407.0,27828178.0,40231927.0,157655399.0,157632099.0,157643749.0,0.11,601601,中国太保,2011-01-04T00:00:00,1.7467,1.2163336042863298,3.051747004366927,2.417582417027314
2011-01-05,141424784079.0,22.78,23.78691867,SH,0.0,26300.0,20000.0,20000.0,0.0,-3400.0,-20000.0,0.0,0.0,22900.0,0.0,20000.0,11390.0,500.0,18286106.0,87237506.0,46310585.0,49232299.0,-8977667.0,-2539398.0,-13171403.0,-9497240.0,9308439.0,84698108.0,33139182.0,39735059.0,148677472.0,148654692.0,148666082.0,0.11,601601,中国太保,2011-01-05T00:00:00,-2.2318,-4.526404012031361,1.4247551227955866,0.39665051283946795
2011-01-06,139189800661.0,22.42,23.41100599,SH,200.0,26100.0,200.0,20200.0,0.0,-3000.0,0.0,0.0,200.0,23100.0,200.0,20200.0,11210.0,500.0,7149183.0,87145988.0,39181046.0,54412578.0,-451263.0,-15095974.0,-15431181.0,-10578041.0,6697920.0,72050014.0,23749865.0,43834537.0,148226029.0,148203609.0,148214819.0,0.11,601601,中国太保,2011-01-06T00:00:00,-1.5803,-2.901689063694284,-2.0960698731593332,-0.8403361518944886
