date,AGSZBHXS,close,market,rqchl,rqchl10,rqchl3,rqchl5,rqjmcl,rqjmcl10,rqjmcl3,rqjmcl5,rqmcl,rqmcl10,rqmcl3,rqmcl5,rqye,rqyl,rzche,rzche10,rzche3,rzche5,rzjmre,rzjmre10,rzjmre3,rzjmre5,rzmre,rzmre10,rzmre3,rzmre5,rzrqye,rzrqyecz,rzye,rzyezb,tdate,zdf,zdf10,zdf3,zdf5
2011-01-13,14496692000000.0,2827.713,SH,322291.0,5261809.0,1297718.0,2822145.0,-73190.0,509870.0,230897.0,454535.0,249101.0,5771679.0,1528615.0,3276680.0,11325427.0,781358.0,324256634.0,4546796317.0,1129314028.0,2285320405.0,43227679.0,607669318.0,-4752153.0,26806163.0,367484313.0,5154465635.0,1124561875.0,2312126568.0,8765354740.0,8742703886.0,8754029313.0,0.06038639237834398,2011-01-13T00:00:00,0.2271289350141158,2.7688625261536592,1.2860478635895218,0.12449556457994965
2011-01-14,14320287000000.0,2791.344,SH,502410.0,4948919.0,1438728.0,2486055.0,-78500.0,332790.0,-194677.0,12532.0,423910.0,5281709.0,1244051.0,2498587.0,6913532.0,702858.0,364174243.0,4611523718.0,1046200547.0,1985463765.0,15464483.0,549388075.0,102388944.0,79455782.0,379638726.0,5160911793.0,1148589491.0,2064919547.0,8776407328.0,8762580264.0,8769493796.0,0.06123825448470411,2011-01-14T00:00:00,-1.2861630582735943,1.1512279970647654,-0.4530237902574386,-1.6717269016038814
2011-01-17,13901494000000.0,2706.66,SH,733277.0,5143946.0,1557978.0,2533405.0,107115.0,613789.0,-44575.0,259512.0,840392.0,5757735.0,1513403.0,2792917.0,7448751.0,809973.0,391310999.0,4609152445.0,1079741876.0,1884799270.0,51907145.0,393914263.0,110599307.0,62619475.0,443218144.0,5003066708.0,1190341183.0,1947418745.0,8828849692.0,8813952190.0,8821400941.0,0.06345649569031933,2011-01-17T00:00:00,-3.033807370213059,-3.611617487697096,-4.063545061593837,-3.0499579305031252
2011-01-18,13920504000000.0,2708.9790000000007,SH,737247.0,5558365.0,1972934.0,2909252.0,-221747.0,150337.0,-193132.0,-309309.0,515500.0,5708702.0,1779802.0,2599943.0,5909762.0,588226.0,244648295.0,4214830337.0,1000133537.0,1682159841.0,160356629.0,465620759.0,227728257.0,314652718.0,405004924.0,4680451096.0,1227861794.0,1996812559.0,8987667332.0,8975847808.0,8981757570.0,0.06452178434056698,2011-01-18T00:00:00,0.0856775509299284,-5.036338167204646,-4.198940981634275,-3.390385396535793
2011-01-19,14158899000000.0,2758.097,SH,564915.0,5702880.0,2035439.0,2860140.0,-32615.0,263522.0,-147247.0,-298937.0,532300.0,5966402.0,1888192.0,2561203.0,7280845.0,555611.0,356700474.0,4020807451.0,992659768.0,1681090645.0,106220255.0,491505910.0,318484029.0,377176191.0,462920729.0,4512313361.0,1311143797.0,2058266836.0,9095258670.0,9080696980.0,9087977825.0,0.06418562506166617,2011-01-19T00:00:00,1.8131554360517377,-2.835771102091776,-1.1910749803678802,-2.2403816673489763
2011-01-20,13747740000000.0,2677.652,SH,690300.0,6050294.0,1992462.0,3228149.0,-98700.0,130088.0,-353062.0,-324447.0,591600.0,6180382.0,1639400.0,2903702.0,6614513.0,456911.0,499157892.0,4141312308.0,1100506661.0,1855991903.0,-1329928.0,359424747.0,265246956.0,332618584.0,497827964.0,4500737055.0,1365753617.0,2188610487.0,9093262410.0,9080033384.0,9086647897.0,0.06609557568734932,2011-01-20T00:00:00,-2.9166849461784703,-5.188908564098043,-1.0717267776521615,-5.3067974012921395
2011-01-21,13942042000000.0,2715.294000000001,SH,1260231.0,6472025.0,2515446.0,3985970.0,97669.0,-135746.0,-33646.0,-148278.0,1357900.0,6336279.0,2481800.0,3837692.0,7299859.0,554580.0,524273156.0,4001554581.0,1380131522.0,2016090816.0,16224376.0,412834259.0,121114703.0,333378477.0,540497532.0,4414388840.0,1501246225.0,2349469293.0,9110172132.0,9095572414.0,9102872273.0,0.0652908108654385,2011-01-21T00:00:00,1.4057838733338015,-4.3506748095410686,0.2331136564735275,-2.724494007187935
2011-01-24,13854254000000.0,2695.72,SH,909049.0,6695147.0,2859580.0,4161742.0,341522.0,345641.0,340491.0,86129.0,1250571.0,7040788.0,3200071.0,4247871.0,9228124.0,896102.0,434726982.0,3944306069.0,1458158030.0,2059506799.0,74965145.0,419055952.0,89859593.0,356436477.0,509692127.0,4363362021.0,1548017623.0,2415943276.0,9187065542.0,9168609294.0,9177837418.0,0.06624562692440893,2011-01-24T00:00:00,-0.7208795806273648,-3.4418185484752,-2.2615955856519907,-0.4041881876556345
2011-01-25,13765124000000.0,2677.432,SH,567611.0,6901358.0,2736891.0,3992106.0,-206331.0,-207764.0,232860.0,101545.0,361280.0,6693594.0,2969751.0,4093651.0,9333398.0,689771.0,303937437.0,3800955782.0,1262937575.0,2118795941.0,42224938.0,552957504.0,133414459.0,238304786.0,346162375.0,4353913286.0,1396352034.0,2357100727.0,9229395754.0,9210728958.0,9220062356.0,0.0669813243672923,2011-01-25T00:00:00,-0.6784087368124286,-4.515437865342485,-0.008216153555428412,-1.1645346826239702
2011-01-26,13922524000000.0,2708.8140000000008,SH,425935.0,6713266.0,1902595.0,3853126.0,118465.0,-46312.0,253656.0,252625.0,544400.0,6666954.0,2156251.0,4105751.0,9365923.0,808236.0,259786641.0,3702972753.0,998451060.0,2021882108.0,129732779.0,638993501.0,246922862.0,261817310.0,389519420.0,4341966254.0,1245373922.0,2283699418.0,9359161058.0,9340429212.0,9349795135.0,0.06715589166878075,2011-01-26T00:00:00,1.1720932595113531,-3.9871974139626873,-0.2386481905826772,-1.7868479607497487
