,range
300256,2.9
000030,2.9
002699,2.9
601567,2.9
002820,2.9
600195,2.9
002121,2.9
002122,2.9
600050,2.9
300095,2.9
002316,2.9
002725,2.9
601212,2.9
600708,2.9
000733,2.9
000997,2.9
600339,2.9
000737,2.9
601886,2.9
002187,2.9
000065,2.9
002327,2.9
600774,2.9
600790,2.9
601001,2.9
601000,2.9
002848,2.9
601811,2.9
002324,2.9
300153,2.9
002454,2.9
600379,2.9
000973,2.9
300057,2.9
603519,2.9
600405,2.9
002242,2.9
603268,2.9
002062,2.9
600586,2.9
002519,2.9
300563,2.9
002759,2.9
300611,2.9
000507,2.9
300599,2.9
002778,2.9
002623,2.9
300347,2.9
000590,2.9
000498,2.9
600843,2.9
600082,2.9
002283,2.9
600126,2.9
002461,2.9
600846,2.9
600584,2.9
600806,2.9
300598,2.9
300313,2.9
300322,2.9
000533,2.9
600810,2.9
300511,2.9
600360,2.9
002274,2.9
000541,2.9
300201,2.9
600819,2.9
600301,2.9
600098,2.9
002278,2.9
002069,2.9
603339,2.9
002255,2.9
002068,2.9
601137,2.9
002334,2.9
603861,2.9
600803,2.9
002134,2.9
002843,2.9
002031,2.9
600603,2.9
600284,2.9
603069,2.9
002404,2.9
002225,2.9
000889,2.9
002750,2.9
002482,2.9
000886,2.9
300374,2.9
002027,2.9
600151,2.9
002026,2.9
000166,2.9
002486,2.9
603979,2.9
600873,2.9
000680,2.9
600734,2.9
000828,2.9
002383,2.9
300502,2.9
000419,2.9
600853,2.9
000611,2.9
000612,2.9
000613,2.9
000615,2.9
300433,2.9
002046,2.9
600802,2.9
600509,2.9
002817,2.9
002788,2.9
600614,2.9
000627,2.9
603987,2.8
603716,2.8
601116,2.8
600738,2.8
603718,2.8
300481,2.8
600236,2.8
002516,2.8
002767,2.8
002806,2.8
002126,2.8
000949,2.8
600030,2.8
300473,2.8
600993,2.8
600267,2.8
603823,2.8
600792,2.8
600312,2.8
002813,2.8
600795,2.8
600868,2.8
600279,2.8
002478,2.8
002477,2.8
002087,2.8
002044,2.8
600854,2.8
600010,2.8
002053,2.8
300625,2.8
600837,2.8
603843,2.8
600308,2.8
600297,2.8
002067,2.8
002079,2.8
300040,2.8
000910,2.8
300172,2.8
600266,2.8
600988,2.8
600985,2.8
002452,2.8
002116,2.8
600761,2.8
600978,2.8
600977,2.8
300562,2.8
000977,2.8
603968,2.8
600416,2.8
600970,2.8
002734,2.8
600967,2.8
000988,2.8
002737,2.8
002455,2.8
600259,2.8
002739,2.8
603806,2.8
002346,2.8
601126,2.8
002076,2.8
601127,2.8
603569,2.8
000709,2.8
300110,2.8
600161,2.8
300141,2.8
000597,2.8
600163,2.8
600488,2.8
601899,2.8
600121,2.8
600595,2.8
002681,2.8
600071,2.8
002306,2.8
000572,2.8
300408,2.8
600378,2.8
002686,2.8
600528,2.8
300261,2.8
002569,2.8
000762,2.8
600351,2.8
601996,2.8
002587,2.8
601789,2.8
603017,2.8
603058,2.8
600619,2.8
000637,2.8
600633,2.8
600636,2.8
000636,2.8
300284,2.8
603101,2.8
300366,2.8
000417,2.8
000157,2.8
300144,2.8
000682,2.8
600640,2.8
000686,2.8
000610,2.8
300146,2.8
002674,2.8
002403,2.8
300292,2.8
600643,2.8
000698,2.8
000776,2.8
002565,2.8
002703,2.8
002529,2.8
000021,2.8
600706,2.8
600207,2.8
600533,2.8
002435,2.8
000551,2.8
600714,2.8
002277,2.8
300429,2.8
603328,2.8
603663,2.8
600215,2.8
600569,2.8
002150,2.8
601208,2.8
002440,2.8
601177,2.8
600325,2.8
600732,2.8
600466,2.8
002523,2.8
000823,2.8
601369,2.8
002521,2.8
300565,2.8
