code	val
600677	1.5
600208	1.5
603385	1.5
600231	1.5
600232	1.5
603383	1.5
600207	1.5
603367	1.5
600237	1.5
603365	1.5
600203	1.5
600241	1.5
600699	1.5
603358	1.5
603496	1.5
600248	1.5
603357	1.5
600644	1.5
603266	1.5
603222	1.5
603157	1.5
600759	1.5
603917	1.5
603617	1.5
603618	1.5
600156	1.5
600149	1.5
603159	1.5
600338	1.5
600339	1.5
600148	1.5
600322	1.5
600345	1.5
600626	1.5
600768	1.5
603133	1.5
600038	1.5
603129	1.5
600622	1.5
603637	1.5
600770	1.5
603612	1.5
600764	1.5
603856	1.5
603600	1.5
600735	1.5
600316	1.5
600311	1.5
603189	1.5
603603	1.5
603196	1.5
603985	1.4
600871	1.4
600726	1.4
600724	1.4
600765	1.4
600743	1.4
600815	1.4
600696	1.4
600884	1.4
600744	1.4
600888	1.4
600777	1.4
600865	1.4
603960	1.4
600814	1.4
603989	1.4
603993	1.4
600890	1.4
600775	1.4
603996	1.4
600891	1.4
600691	1.4
603908	1.4
600773	1.4
600819	1.4
600719	1.4
600718	1.4
603868	1.4
603922	1.4
600834	1.4
600826	1.4
600838	1.4
603895	1.4
600793	1.4
603920	1.4
603969	1.4
600843	1.4
600846	1.4
600715	1.4
600714	1.4
600823	1.4
603936	1.4
600774	1.4
600791	1.4
600712	1.4
600730	1.4
600703	1.4
600854	1.4
600802	1.4
600787	1.4
600821	1.4
603901	1.4
603906	1.4
600779	1.4
600778	1.4
600864	1.4
603458	1.4
600896	1.4
603233	1.4
603228	1.4
603599	1.4
603227	1.4
603226	1.4
603208	1.4
603203	1.4
603200	1.4
603199	1.4
603188	1.4
603608	1.4
603179	1.4
603178	1.4
603615	1.4
603169	1.4
600687	1.4
603139	1.4
603630	1.4
603633	1.4
603131	1.4
603127	1.4
603126	1.4
603118	1.4
603117	1.4
603101	1.4
603098	1.4
603229	1.4
603586	1.4
603855	1.4
603238	1.4
603416	1.4
603399	1.4
603398	1.4
603466	1.4
603393	1.4
603389	1.4
603387	1.4
603380	1.4
603360	1.4
603359	1.4
603356	1.4
603338	1.4
603331	1.4
603508	1.4
603517	1.4
603316	1.4
603315	1.4
603313	1.4
603306	1.4
603535	1.4
603299	1.4
603298	1.4
603538	1.4
603566	1.4
603260	1.4
603088	1.4
603676	1.4
603079	1.4
603056	1.4
601608	1.4
601519	1.4
601336	1.4
601333	1.4
601326	1.4
601233	1.4
603797	1.4
601212	1.4
601163	1.4
601137	1.4
601127	1.4
601126	1.4
601118	1.4
603803	1.4
601069	1.4
601028	1.4
601015	1.4
601012	1.4
601008	1.4
601005	1.4
603828	1.4
600986	1.4
600980	1.4
600976	1.4
600939	1.4
601636	1.4
601717	1.4
603789	1.4
603768	1.4
603055	1.4
603698	1.4
603701	1.4
603707	1.4
603043	1.4
603041	1.4
603030	1.4
603027	1.4
603728	1.4
603023	1.4
603017	1.4
603776	1.4
601777	1.4
603007	1.4
601996	1.4
601992	1.4
601958	1.4
601933	1.4
601908	1.4
601901	1.4
601900	1.4
601890	1.4
601808	1.4
601801	1.4
601968	1.4
603999	1.4
600503	1.4
600192	1.4
600389	1.4
600178	1.4
600537	1.4
600180	1.4
600386	1.4
600185	1.4
600188	1.4
600196	1.4
600217	1.4
600383	1.4
600199	1.4
600595	1.4
600200	1.4
600594	1.4
600592	1.4
600211	1.4
600176	1.4
600173	1.4
600401	1.4
600167	1.4
600621	1.4
600619	1.4
600616	1.4
600615	1.4
600423	1.4
600532	1.4
600141	1.4
600609	1.4
600533	1.4
600155	1.4
600418	1.4
600159	1.4
600606	1.4
600162	1.4
600406	1.4
600590	1.4
600218	1.4
600624	1.4
600281	1.4
600335	1.4
600266	1.4
600267	1.4
600547	1.4
600268	1.4
600277	1.4
